"","shifts","prob"
"1",83,0.000118
"2",84,0.000353
"3",85,0.000118
"4",87,0.000235
"5",88,0.000235
"6",89,0.000588
"7",91,0.000823
"8",92,0.00118
"9",93,0.00141
"10",94,0.000941
"11",95,0.000941
"12",96,0.00153
"13",97,0.00212
"14",98,0.00118
"15",99,0.00118
"16",100,0.00176
"17",101,0.00153
"18",102,0.00341
"19",103,0.00447
"20",104,0.00376
"21",105,0.00423
"22",106,0.004
"23",107,0.00318
"24",108,0.00423
"25",109,0.00506
"26",110,0.00682
"27",111,0.00882
"28",112,0.008
"29",113,0.00729
"30",114,0.00659
"31",115,0.00812
"32",116,0.00847
"33",117,0.00788
"34",118,0.0111
"35",119,0.0112
"36",120,0.00906
"37",121,0.0111
"38",122,0.0116
"39",123,0.014
"40",124,0.0134
"41",125,0.0155
"42",126,0.014
"43",127,0.0131
"44",128,0.0139
"45",129,0.0145
"46",130,0.0147
"47",131,0.0181
"48",132,0.0156
"49",133,0.0161
"50",134,0.0161
"51",135,0.0194
"52",136,0.0161
"53",137,0.0196
"54",138,0.0222
"55",139,0.0216
"56",140,0.0184
"57",141,0.024
"58",142,0.0228
"59",143,0.0211
"60",144,0.0218
"61",145,0.0206
"62",146,0.0202
"63",147,0.0182
"64",148,0.0186
"65",149,0.0199
"66",150,0.0174
"67",151,0.0154
"68",152,0.0153
"69",153,0.0144
"70",154,0.0164
"71",155,0.0155
"72",156,0.0145
"73",157,0.0134
"74",158,0.0136
"75",159,0.0111
"76",160,0.0144
"77",161,0.0129
"78",162,0.0122
"79",163,0.0102
"80",164,0.0106
"81",165,0.00776
"82",166,0.0101
"83",167,0.00882
"84",168,0.00965
"85",169,0.00682
"86",170,0.00776
"87",171,0.00706
"88",172,0.00635
"89",173,0.00576
"90",174,0.00694
"91",175,0.00612
"92",176,0.00588
"93",177,0.00518
"94",178,0.00541
"95",179,0.00541
"96",180,0.00388
"97",181,0.00435
"98",182,0.00388
"99",183,0.00388
"100",184,0.002
"101",185,0.00282
"102",186,0.00235
"103",187,0.00188
"104",188,0.00153
"105",189,0.00165
"106",190,0.00188
"107",191,0.00129
"108",192,0.00153
"109",193,0.00141
"110",194,0.00141
"111",195,0.00106
"112",196,0.000588
"113",197,0.000471
"114",198,0.000353
"115",199,0.000118
"116",200,0.000235
"117",201,0.000235
"118",202,0.000235
"119",203,0.000118
"120",204,0.000118
"121",205,0.000118
"122",208,0.000118
